0G,L-GUANOSINE-5'-MONOPHOSPHATE
XTH,2' 3'-DI-DEOXY-BETA-D-GLUCOPYRANOSYL THYMINE
SPV,SULFOPYRUVATE
TPP,THIAMINE DIPHOSPHATE
SUL,SULFATE ION
PO3,PHOSPHITE ION
OXY,OXYGEN MOLECULE
ASC,ASCORBIC ACID
BIO,BIOPTERIN
FRU,beta-D-fructofuranose
6HG,1' 5'-ANHYDRO-2' 3'-DIDEOXY-2'-(GUANIN-9-YL)-6'-O-PHOSPHORYL-D-ARABINO-HEXITOL
ZCY,S)-1'-(2' 3'-DIHYDROXYPROPYL)-CYTOSINE
LCA,[(1R 3R 4R 7S)-7-HYDROXY-3-(ADENIN-9-YL)-2 5-DIOXABICYCLO[2.2.1]HEPT-1-YL]METHYL DIHYDROGEN PHOSPHATE
ALF,TETRAFLUOROALUMINATE ION
NAI,1 4-DIHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE
ZHP,(S)-1'-(2' 3'-DIHYDROXYPROPYL)-HYDROXYPYRIDONE
CUZ,(MU-4-SULFIDO)-TETRA-NUCLEAR COPPER ION
NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE
RBF,RIBOFLAVIN
OH,HYDROXIDE ION
EGL,1 2-ETHANEDIOL
COS,COENZYME A PERSULFIDE
PYR,PYRUVIC ACID
BEF,BERYLLIUM TRIFLUORIDE ION
ZAD,(S)-1'-(2' 3'-DIHYDROXYPROPYL)-ADENINE
SAM,S-ADENOSYLMETHIONINE
TRS,2-AMINO-2-HYDROXYMETHYL-PROPANE-1 3-DIOL
PLP,PYRIDOXAL-5'-PHOSPHATE
SM,SAMARIUM (III) ION
CO,COBALT (II) ION
4MO,MOLYBDENUM(IV) ION
3NI,NICKEL (III) ION
F,FLUORIDE ION
AU,GOLD ION
YB,YTTERBIUM (III) ION
3CO,COBALT (III) ION
FE2,FE (II) ION
CR,CHROMIUM ION
SO3,SULFITE ION
TL,THALLIUM (I) ION
CS,CESIUM ION
RB,RUBIDIUM ION
K,POTASSIUM ION
6MO,MOLYBDENUM(VI) ION
LU,LUTETIUM (III) ION
GD,GADOLINIUM ATOM
AG,SILVER ION
IR3,IRIDIUM (III) ION
ZN2,ZINC ION
HG,MERCURY (II) ION
EU,EUROPIUM ION
SR,STRONTIUM ION
TB,TERBIUM(III) ION
LI,LITHIUM ION
PT,PLATINUM (II) ION
IR,IRIDIUM ION
BR,BROMIDE ION
AU3,GOLD 3+ ION
Y1,YTTRIUM ION
CUA,DINUCLEAR COPPER ION
FE,FE (III) ION
NH4,AMMONIUM ION
C1O,CU-O LINKAGE
V,VANADIUM ION
PB,LEAD (II) ION
RU,RUTHENIUM ION
SB,ANTIMONY (III) ION
OS,OSMIUM ION
U1,URANIUM ATOM
BA,BARIUM ION
MH2,MANGANESE ION  1 HYDROXYL COORDINATED
PD,PALLADIUM ION
PR,PRASEODYMIUM ION
W,TUNGSTEN ION
CU,COPPER (II) ION
CD,CADMIUM ION
CE,CERIUM (III) ION
MN3,MANGANESE (III) ION
SE,SELENIUM ATOM
AL,ALUMINUM ION
O,OXYGEN ATOM
CF0,fluoromethane
CSO,S-HYDROXYCYSTEINE
CSX,S-OXY CYSTEINE
2CO,S-HYDROPEROXYCYSTEINE
ETF,TRIFLUOROETHANOL
FMT,FORMIC ACID
SER,SERINE
IMD,IMIDAZOLE
MES,2-(N-MORPHOLINO)-ETHANESULFONIC ACID
PGE,TRIETHYLENE GLYCOL
ALA,ALANINE
ARG,ARGININE
ASN,ASPARAGINE
ASP,ASPARTIC ACID
CYS,CYSTEINE
GLN,GLUTAMINE
GLU,GLUTAMIC ACID
GLY,GLYCINE
HIS,HISTIDINE
HIE,4-[6 6-dimethyl-4-oxo-3-(trifluoromethyl)-4 5 6 7-tetrahydro-1H-indazol-1-yl]-2-[(cis-4-hydroxycyclohexyl)amino]benzamide
HID,(5-hydroxy-1H-indol-3-yl)acetic acid
